City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
745,Bernalillo,US,82.11,overcast clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
796,Pailon,BO,80.28,broken clouds,-17.65,-62.75,Alojamiento pailon
815,Katherine,AU,80.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
819,El Mante,MX,84.51,clear sky,22.7333,-98.9667,Hotel San Luis
825,Hatillo,PR,81.01,broken clouds,18.4863,-66.8254,El Buen Hotel
840,Bellary,IN,82.96,few clouds,15.15,76.9333,Hotel Pawan
842,Gorom-Gorom,BF,84.9,scattered clouds,14.4439,-0.2361,
847,Carinhanha,BR,83.55,broken clouds,-14.3047,-43.765,Hotel União
862,Kokopo,PG,81.68,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
882,Yerbabuena,MX,80.04,clear sky,20.9667,-101.2667,Holiday Inn Express Guanajuato
892,Ilheus,BR,82.22,broken clouds,-14.7889,-39.0494,Barravento Hotel
894,Machilipatnam,IN,80.46,scattered clouds,16.1667,81.1333,R&B Bungalow
917,Ewa Beach,US,80.44,light intensity drizzle,21.3156,-158.0072,Base Lodging
923,Port Moresby,PG,80.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
926,Madera,US,80.42,overcast clouds,37.1666,-119.8343,
933,Motupe,PE,82.22,light rain,-6.1519,-79.7142,Hostal MALU
941,Soyo,AO,80.76,overcast clouds,-6.1349,12.3689,Hotel Mpampa
947,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
951,Tabou,CI,80.17,broken clouds,4.423,-7.3528,hotêl doufoulougou
953,Namatanai,PG,81.9,light rain,-3.6667,152.4333,Seagulls Inn Namatani
958,Vaitape,PF,82.02,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
961,Kismayo,SO,81.3,overcast clouds,-0.3582,42.5454,Agan-Hotel
975,Kirakira,SB,83.82,overcast clouds,-10.4544,161.9205,SanBiz Lodge
978,Gao,ML,80.85,clear sky,16.6362,1.637,
983,Waspan,NI,82.65,broken clouds,14.7419,-83.9717,Hostal casa de la rose
999,Ouahigouya,BF,85.53,broken clouds,13.5828,-2.4216,Hotel Liberte
1009,Axim,GH,80.47,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
1027,Hattiesburg,US,82.72,clear sky,31.3271,-89.2903,Deluxe Inn
