City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
142,Trat,12.5,102.5,82.9,92,91,0.94,overcast clouds,TH,2022-03-27 22:52:51
143,Flinders,-34.5833,150.8552,70.18,94,96,7.0,overcast clouds,AU,2022-03-27 22:52:51
144,Ixtapa,20.7,-105.2,85.03,32,36,6.82,scattered clouds,MX,2022-03-27 22:50:27
145,Saint Anthony,45.0205,-93.218,32.29,29,0,10.36,clear sky,US,2022-03-27 22:52:53
146,Husavik,66.0449,-17.3389,23.99,66,45,4.43,scattered clouds,IS,2022-03-27 22:52:54
147,Sydney Mines,46.2367,-60.2177,41.77,86,75,12.66,broken clouds,CA,2022-03-27 22:52:54
148,Yelan-Kolenovskiy,51.1632,41.151,24.78,76,97,18.05,overcast clouds,RU,2022-03-27 22:52:54
149,Ulladulla,-35.35,150.4667,68.9,95,99,6.98,overcast clouds,AU,2022-03-27 22:48:15
150,Upernavik,72.7868,-56.1549,16.02,76,96,3.53,overcast clouds,GL,2022-03-27 22:52:55
151,Chinsali,-10.5414,32.0816,63.73,96,80,3.27,broken clouds,ZM,2022-03-27 22:52:55
152,Necochea,-38.5473,-58.7368,59.43,62,0,7.63,clear sky,AR,2022-03-27 22:52:56
153,Cockburn Town,21.4612,-71.1419,78.76,65,40,11.5,scattered clouds,TC,2022-03-27 22:52:56
154,Narsaq,60.9167,-46.05,26.24,66,89,7.94,overcast clouds,GL,2022-03-27 22:50:14
155,Buchanan,5.8808,-10.0467,79.79,89,99,5.26,overcast clouds,LR,2022-03-27 22:50:40
156,Longyan,25.1072,117.0225,56.97,96,100,0.56,light rain,CN,2022-03-27 22:52:57
157,Healesville,-37.65,145.5167,73.69,44,100,2.95,overcast clouds,AU,2022-03-27 22:52:57
158,Bambous Virieux,-20.3428,57.7575,77.25,88,40,2.3,scattered clouds,MU,2022-03-27 22:52:58
159,Santa Maria,-29.6842,-53.8069,69.1,73,0,2.3,clear sky,BR,2022-03-27 22:52:58
160,Kondinskoye,59.6481,67.41,15.93,91,100,14.54,overcast clouds,RU,2022-03-27 22:52:59
